time_iso8601,stars_cumulative
2023-04-24 00:00:00+00:00,1
2023-05-06 00:00:00+00:00,2
2023-05-08 00:00:00+00:00,3
2023-05-10 00:00:00+00:00,5
2023-06-04 00:00:00+00:00,6
2023-06-12 00:00:00+00:00,7
2023-07-17 00:00:00+00:00,9
2023-07-21 00:00:00+00:00,30
2023-07-22 00:00:00+00:00,31
2023-07-23 00:00:00+00:00,32
2023-07-24 00:00:00+00:00,34
2023-07-26 00:00:00+00:00,39
2023-07-27 00:00:00+00:00,46
2023-07-28 00:00:00+00:00,47
2023-07-29 00:00:00+00:00,48
2023-07-30 00:00:00+00:00,49
2023-07-31 00:00:00+00:00,50
2023-08-01 00:00:00+00:00,51
2023-08-03 00:00:00+00:00,52
2023-08-06 00:00:00+00:00,54
2023-08-07 00:00:00+00:00,55
2023-08-12 00:00:00+00:00,56
2023-08-28 00:00:00+00:00,58
2023-08-29 00:00:00+00:00,59
2023-09-11 00:00:00+00:00,60
2023-09-12 00:00:00+00:00,61
2023-09-13 00:00:00+00:00,62
2023-09-14 00:00:00+00:00,64
2023-09-16 00:00:00+00:00,66
2023-09-18 00:00:00+00:00,67
2023-09-20 00:00:00+00:00,68
2023-09-22 00:00:00+00:00,70
2023-09-24 00:00:00+00:00,71
2023-09-25 00:00:00+00:00,72
2023-09-26 00:00:00+00:00,73
2023-09-28 00:00:00+00:00,75
2023-10-07 00:00:00+00:00,76
2023-10-09 00:00:00+00:00,77
2023-10-10 00:00:00+00:00,78
2023-10-12 00:00:00+00:00,80
2023-10-14 00:00:00+00:00,81
2023-10-18 00:00:00+00:00,82
2023-10-22 00:00:00+00:00,83
2023-10-25 00:00:00+00:00,84
2023-10-28 00:00:00+00:00,85
2023-10-30 00:00:00+00:00,86
2023-11-06 00:00:00+00:00,88
2023-11-08 00:00:00+00:00,89
2023-11-13 00:00:00+00:00,90
2023-11-16 00:00:00+00:00,92
2023-11-17 00:00:00+00:00,93
2023-11-18 00:00:00+00:00,94
2023-11-22 00:00:00+00:00,96
2023-11-23 00:00:00+00:00,97
2023-11-26 00:00:00+00:00,98
2023-12-04 00:00:00+00:00,99
2023-12-05 00:00:00+00:00,101
2023-12-09 00:00:00+00:00,102
2023-12-11 00:00:00+00:00,103
2023-12-12 00:00:00+00:00,106
2023-12-18 00:00:00+00:00,107
2023-12-21 00:00:00+00:00,108
2024-01-04 00:00:00+00:00,109
2024-01-05 00:00:00+00:00,110
2024-01-30 00:00:00+00:00,112
2024-02-12 00:00:00+00:00,113
2024-02-19 00:00:00+00:00,114
2024-02-21 00:00:00+00:00,116
2024-02-23 00:00:00+00:00,117
2024-03-03 00:00:00+00:00,118
2024-03-04 00:00:00+00:00,119
2024-03-07 00:00:00+00:00,120
2024-03-09 00:00:00+00:00,122
2024-03-11 00:00:00+00:00,123
2024-03-18 00:00:00+00:00,124
2024-03-21 00:00:00+00:00,125
2024-03-24 00:00:00+00:00,127
2024-03-25 00:00:00+00:00,128
2024-03-26 00:00:00+00:00,129
2024-03-27 00:00:00+00:00,130
2024-03-30 00:00:00+00:00,131
2024-03-31 00:00:00+00:00,132
2024-04-01 00:00:00+00:00,133
2024-04-06 00:00:00+00:00,134
2024-04-09 00:00:00+00:00,135
2024-04-11 00:00:00+00:00,137
2024-04-12 00:00:00+00:00,138
2024-04-13 00:00:00+00:00,140
2024-04-18 00:00:00+00:00,141
2024-04-24 00:00:00+00:00,144
2024-04-29 00:00:00+00:00,145
2024-05-01 00:00:00+00:00,146
2024-05-08 00:00:00+00:00,147
2024-05-17 00:00:00+00:00,148
2024-05-27 00:00:00+00:00,150
2024-06-04 00:00:00+00:00,151
2024-06-07 00:00:00+00:00,152
2024-06-08 00:00:00+00:00,153
2024-06-09 00:00:00+00:00,154
2024-06-12 00:00:00+00:00,155
2024-06-20 00:00:00+00:00,156
2024-06-22 00:00:00+00:00,157
2024-06-25 00:00:00+00:00,158
2024-07-10 00:00:00+00:00,159
