time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-16 00:00:00+00:00,2,2,21,7
2025-12-17 00:00:00+00:00,0,0,6,3
2025-12-18 00:00:00+00:00,1,1,3,3
2025-12-19 00:00:00+00:00,1,1,7,7
2025-12-20 00:00:00+00:00,7,4,4,4
2025-12-21 00:00:00+00:00,4,4,14,3
2025-12-22 00:00:00+00:00,4,3,21,6
2025-12-23 00:00:00+00:00,3,3,20,8
2025-12-24 00:00:00+00:00,1,1,11,6
2025-12-25 00:00:00+00:00,2,2,14,6
2025-12-26 00:00:00+00:00,2,2,14,6
2025-12-27 00:00:00+00:00,0,0,18,4
2025-12-28 00:00:00+00:00,2,1,13,5
2025-12-29 00:00:00+00:00,2,2,3,3
