referrer,views_total,views_unique
github.com,66,10
Google,20,15
gops.readthedocs.io,18,3
Bing,15,4
link.zhihu.com,11,5
cn.bing.com,8,5
en.wikipedia.org,4,2
DuckDuckGo,1,1
