time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-11 00:00:00+00:00,1.0,1.0,22,10
2025-04-12 00:00:00+00:00,1.0,1.0,30,9
2025-04-13 00:00:00+00:00,1.0,1.0,16,3
2025-04-14 00:00:00+00:00,,,22,10
2025-04-15 00:00:00+00:00,7.0,4.0,29,14
2025-04-16 00:00:00+00:00,,,36,11
2025-04-17 00:00:00+00:00,2.0,2.0,19,7
2025-04-18 00:00:00+00:00,,,37,6
2025-04-19 00:00:00+00:00,,,8,7
2025-04-20 00:00:00+00:00,,,8,5
2025-04-21 00:00:00+00:00,2.0,1.0,15,8
2025-04-22 00:00:00+00:00,2.0,1.0,9,4
2025-04-23 00:00:00+00:00,1.0,1.0,12,7
2025-04-24 00:00:00+00:00,,,11,4
