referrer,views_total,views_unique
github.com,61,20
Bing,27,6
Google,24,11
cn.bing.com,18,5
en.wikipedia.org,18,3
gops.readthedocs.io,13,8
Baidu,4,1
www4.bing.com,3,1
link.zhihu.com,2,2
ja.wikipedia.org,1,1
