referrer,views_total,views_unique
github.com,77,19
Google,34,14
Bing,15,2
en.m.wikipedia.org,5,3
en.wikipedia.org,4,1
link.zhihu.com,3,2
cn.bing.com,1,1
zhihu.com,1,1
