time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-28 00:00:00+00:00,,,7,6
2025-03-29 00:00:00+00:00,2.0,2.0,27,9
2025-03-30 00:00:00+00:00,,,17,9
2025-03-31 00:00:00+00:00,1.0,1.0,26,9
2025-04-01 00:00:00+00:00,,,19,7
2025-04-02 00:00:00+00:00,2.0,2.0,45,11
2025-04-03 00:00:00+00:00,1.0,1.0,25,10
2025-04-04 00:00:00+00:00,1.0,1.0,7,3
2025-04-05 00:00:00+00:00,2.0,2.0,21,2
2025-04-06 00:00:00+00:00,2.0,2.0,31,9
2025-04-07 00:00:00+00:00,5.0,4.0,57,24
2025-04-08 00:00:00+00:00,3.0,3.0,60,11
2025-04-09 00:00:00+00:00,7.0,6.0,52,22
2025-04-10 00:00:00+00:00,2.0,2.0,24,8
