time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-27 00:00:00+00:00,2.0,2.0,14,8
2024-10-28 00:00:00+00:00,,,31,9
2024-10-29 00:00:00+00:00,1.0,1.0,55,14
2024-10-30 00:00:00+00:00,4.0,4.0,50,11
2024-10-31 00:00:00+00:00,2.0,2.0,62,16
2024-11-01 00:00:00+00:00,,,29,11
2024-11-02 00:00:00+00:00,,,22,8
2024-11-03 00:00:00+00:00,1.0,1.0,6,4
2024-11-04 00:00:00+00:00,2.0,2.0,20,9
2024-11-05 00:00:00+00:00,3.0,3.0,18,12
2024-11-06 00:00:00+00:00,2.0,2.0,23,11
2024-11-07 00:00:00+00:00,,,19,10
2024-11-08 00:00:00+00:00,,,31,8
2024-11-09 00:00:00+00:00,,,3,3
