time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-20 00:00:00+00:00,1,1,11,7
2026-03-21 00:00:00+00:00,1,1,4,4
2026-03-22 00:00:00+00:00,1,1,3,3
2026-03-23 00:00:00+00:00,4,2,23,14
2026-03-24 00:00:00+00:00,2,2,4,4
2026-03-25 00:00:00+00:00,15,13,33,17
2026-03-26 00:00:00+00:00,8,6,9,2
2026-03-27 00:00:00+00:00,16,12,32,5
2026-03-28 00:00:00+00:00,2,2,4,4
2026-03-29 00:00:00+00:00,1,1,21,1
2026-03-30 00:00:00+00:00,2,2,26,13
2026-03-31 00:00:00+00:00,6,5,18,6
2026-04-01 00:00:00+00:00,2,2,4,4
2026-04-02 00:00:00+00:00,3,3,3,3
