time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-13 00:00:00+00:00,,,26,8
2025-10-14 00:00:00+00:00,5.0,4.0,26,15
2025-10-15 00:00:00+00:00,2.0,2.0,5,5
2025-10-16 00:00:00+00:00,,,28,8
2025-10-17 00:00:00+00:00,,,2,2
2025-10-18 00:00:00+00:00,1.0,1.0,8,7
2025-10-19 00:00:00+00:00,9.0,4.0,25,12
2025-10-20 00:00:00+00:00,9.0,5.0,15,10
2025-10-21 00:00:00+00:00,9.0,8.0,26,18
2025-10-22 00:00:00+00:00,8.0,7.0,140,62
2025-10-23 00:00:00+00:00,5.0,3.0,37,14
2025-10-24 00:00:00+00:00,4.0,2.0,12,6
2025-10-25 00:00:00+00:00,1.0,1.0,10,5
2025-10-26 00:00:00+00:00,,,43,19
