time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-07 00:00:00+00:00,,,4,3
2025-09-08 00:00:00+00:00,,,16,7
2025-09-09 00:00:00+00:00,,,7,3
2025-09-10 00:00:00+00:00,3.0,2.0,28,8
2025-09-11 00:00:00+00:00,1.0,1.0,9,4
2025-09-12 00:00:00+00:00,3.0,3.0,5,3
2025-09-13 00:00:00+00:00,4.0,3.0,18,5
2025-09-14 00:00:00+00:00,1.0,1.0,22,13
2025-09-15 00:00:00+00:00,4.0,4.0,55,11
2025-09-16 00:00:00+00:00,2.0,1.0,30,15
2025-09-17 00:00:00+00:00,6.0,6.0,9,7
2025-09-18 00:00:00+00:00,,,20,6
2025-09-19 00:00:00+00:00,,,10,5
2025-09-20 00:00:00+00:00,3.0,3.0,2,2
