time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-14 00:00:00+00:00,1.0,1.0,11,6
2025-03-15 00:00:00+00:00,4.0,4.0,55,11
2025-03-16 00:00:00+00:00,5.0,5.0,20,9
2025-03-17 00:00:00+00:00,5.0,4.0,37,14
2025-03-18 00:00:00+00:00,,,22,8
2025-03-19 00:00:00+00:00,2.0,2.0,26,11
2025-03-20 00:00:00+00:00,4.0,4.0,97,34
2025-03-21 00:00:00+00:00,2.0,2.0,75,36
2025-03-22 00:00:00+00:00,1.0,1.0,15,10
2025-03-23 00:00:00+00:00,,,23,9
2025-03-24 00:00:00+00:00,2.0,2.0,18,8
2025-03-25 00:00:00+00:00,1.0,1.0,11,6
2025-03-26 00:00:00+00:00,,,23,10
2025-03-27 00:00:00+00:00,2.0,2.0,43,9
