time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-28 00:00:00+00:00,5,5,41,12
2026-03-01 00:00:00+00:00,2,2,6,4
2026-03-02 00:00:00+00:00,2,2,31,10
2026-03-03 00:00:00+00:00,4,4,11,5
2026-03-04 00:00:00+00:00,2,2,10,5
2026-03-05 00:00:00+00:00,1,1,32,11
2026-03-06 00:00:00+00:00,2,2,11,6
2026-03-07 00:00:00+00:00,1,1,8,7
2026-03-08 00:00:00+00:00,0,0,14,3
2026-03-09 00:00:00+00:00,1,1,46,16
2026-03-10 00:00:00+00:00,4,4,29,12
2026-03-11 00:00:00+00:00,3,2,36,16
2026-03-12 00:00:00+00:00,6,4,8,7
2026-03-13 00:00:00+00:00,2,1,16,4
