time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-11 00:00:00+00:00,,,12,4
2024-10-12 00:00:00+00:00,,,2,2
2024-10-13 00:00:00+00:00,,,19,6
2024-10-14 00:00:00+00:00,1.0,1.0,25,15
2024-10-15 00:00:00+00:00,1.0,1.0,14,5
2024-10-16 00:00:00+00:00,,,13,8
2024-10-17 00:00:00+00:00,,,9,8
2024-10-18 00:00:00+00:00,,,11,6
2024-10-19 00:00:00+00:00,,,21,6
2024-10-20 00:00:00+00:00,,,4,4
2024-10-21 00:00:00+00:00,2.0,1.0,34,7
2024-10-22 00:00:00+00:00,,,96,12
2024-10-23 00:00:00+00:00,,,29,9
2024-10-24 00:00:00+00:00,1.0,1.0,103,40
