time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-02 00:00:00+00:00,3,2,4,3
2026-05-03 00:00:00+00:00,3,2,9,4
2026-05-04 00:00:00+00:00,0,0,6,5
2026-05-05 00:00:00+00:00,3,2,7,4
2026-05-06 00:00:00+00:00,2,2,3,3
2026-05-07 00:00:00+00:00,2,2,6,5
2026-05-08 00:00:00+00:00,11,6,8,5
2026-05-09 00:00:00+00:00,9,8,11,2
2026-05-10 00:00:00+00:00,1,1,18,2
2026-05-11 00:00:00+00:00,1,1,2,2
2026-05-12 00:00:00+00:00,12,9,6,5
2026-05-13 00:00:00+00:00,2,1,3,2
2026-05-14 00:00:00+00:00,1,1,5,4
2026-05-15 00:00:00+00:00,3,3,4,3
