time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-14 00:00:00+00:00,1,1,5,4
2026-05-15 00:00:00+00:00,3,3,4,3
2026-05-16 00:00:00+00:00,2,1,11,6
2026-05-17 00:00:00+00:00,43,2,4,2
2026-05-18 00:00:00+00:00,4,4,6,3
2026-05-19 00:00:00+00:00,6,5,6,5
2026-05-20 00:00:00+00:00,3,2,5,5
2026-05-21 00:00:00+00:00,1,1,14,7
2026-05-22 00:00:00+00:00,4,3,0,0
2026-05-23 00:00:00+00:00,3,2,4,4
2026-05-24 00:00:00+00:00,2,1,4,4
2026-05-25 00:00:00+00:00,2,2,3,2
2026-05-26 00:00:00+00:00,4,3,10,1
2026-05-27 00:00:00+00:00,5,5,17,6
