referrer,views_total,views_unique
github.com,304,15
Google,109,15
Bing,34,5
en.wikipedia.org,24,2
Baidu,14,1
gops.readthedocs.io,11,1
cn.bing.com,6,4
link.zhihu.com,3,3
sciencedirect.com,1,1
