referrer,views_total,views_unique
Google,41,12
github.com,28,7
cn.bing.com,26,7
en.m.wikipedia.org,12,2
paperswithcode.com,6,1
DuckDuckGo,5,3
en.wikipedia.org,3,2
arxiv.org,2,2
Bing,1,1
ieeexplore.ieee.org,1,1
