time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-16 00:00:00+00:00,,,20,10
2024-01-17 00:00:00+00:00,1.0,1.0,15,6
2024-01-18 00:00:00+00:00,,,17,6
2024-01-19 00:00:00+00:00,2.0,1.0,31,7
2024-01-20 00:00:00+00:00,,,6,3
2024-01-21 00:00:00+00:00,1.0,1.0,16,4
2024-01-22 00:00:00+00:00,,,16,2
2024-01-23 00:00:00+00:00,1.0,1.0,59,5
2024-01-24 00:00:00+00:00,2.0,2.0,27,9
2024-01-25 00:00:00+00:00,,,38,5
2024-01-26 00:00:00+00:00,,,23,4
2024-01-27 00:00:00+00:00,,,4,4
2024-01-28 00:00:00+00:00,,,16,3
2024-01-29 00:00:00+00:00,2.0,1.0,23,7
