time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-28 00:00:00+00:00,1.0,1.0,28,11
2025-04-29 00:00:00+00:00,1.0,1.0,50,12
2025-04-30 00:00:00+00:00,,,5,3
2025-05-01 00:00:00+00:00,9.0,3.0,27,7
2025-05-02 00:00:00+00:00,,,7,2
2025-05-03 00:00:00+00:00,1.0,1.0,2,2
2025-05-04 00:00:00+00:00,,,10,3
2025-05-05 00:00:00+00:00,3.0,1.0,17,12
2025-05-06 00:00:00+00:00,2.0,2.0,11,5
2025-05-07 00:00:00+00:00,1.0,1.0,68,6
2025-05-08 00:00:00+00:00,3.0,3.0,19,5
2025-05-09 00:00:00+00:00,,,8,5
2025-05-10 00:00:00+00:00,,,17,10
2025-05-11 00:00:00+00:00,2.0,2.0,9,5
