time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-01 00:00:00+00:00,1.0,1.0,50,8
2024-09-02 00:00:00+00:00,1.0,1.0,12,7
2024-09-03 00:00:00+00:00,,,32,7
2024-09-04 00:00:00+00:00,,,5,2
2024-09-05 00:00:00+00:00,,,36,8
2024-09-06 00:00:00+00:00,,,4,4
2024-09-07 00:00:00+00:00,,,7,7
2024-09-08 00:00:00+00:00,1.0,1.0,15,5
2024-09-09 00:00:00+00:00,,,26,8
2024-09-10 00:00:00+00:00,1.0,1.0,26,11
2024-09-11 00:00:00+00:00,,,56,18
2024-09-12 00:00:00+00:00,,,85,16
2024-09-13 00:00:00+00:00,,,7,4
2024-09-14 00:00:00+00:00,,,23,9
