referrer,views_total,views_unique
Google,38,10
cn.bing.com,26,7
github.com,20,7
en.m.wikipedia.org,13,3
paperswithcode.com,6,1
DuckDuckGo,5,3
en.wikipedia.org,3,2
arxiv.org,2,2
Bing,1,1
ieeexplore.ieee.org,1,1
