time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-10 00:00:00+00:00,,,1,1
2024-11-11 00:00:00+00:00,,,12,8
2024-11-12 00:00:00+00:00,1.0,1.0,20,10
2024-11-13 00:00:00+00:00,,,10,5
2024-11-14 00:00:00+00:00,,,16,6
2024-11-15 00:00:00+00:00,,,8,7
2024-11-16 00:00:00+00:00,,,19,6
2024-11-17 00:00:00+00:00,,,7,5
2024-11-18 00:00:00+00:00,1.0,1.0,68,9
2024-11-19 00:00:00+00:00,,,10,7
2024-11-20 00:00:00+00:00,1.0,1.0,8,7
2024-11-21 00:00:00+00:00,1.0,1.0,11,6
2024-11-22 00:00:00+00:00,,,9,6
2024-11-23 00:00:00+00:00,,,11,6
