referrer,views_total,views_unique
github.com,86,18
Google,36,16
Bing,16,3
en.wikipedia.org,4,1
link.zhihu.com,3,2
en.m.wikipedia.org,2,2
cn.bing.com,1,1
zhihu.com,1,1
