time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-11 00:00:00+00:00,1.0,1.0,196,15
2024-03-12 00:00:00+00:00,1.0,1.0,36,10
2024-03-13 00:00:00+00:00,1.0,1.0,179,13
2024-03-14 00:00:00+00:00,3.0,3.0,87,11
2024-03-15 00:00:00+00:00,1.0,1.0,15,9
2024-03-16 00:00:00+00:00,1.0,1.0,30,6
2024-03-17 00:00:00+00:00,1.0,1.0,48,5
2024-03-18 00:00:00+00:00,5.0,4.0,78,11
2024-03-19 00:00:00+00:00,1.0,1.0,127,19
2024-03-20 00:00:00+00:00,2.0,1.0,28,15
2024-03-21 00:00:00+00:00,5.0,4.0,46,5
2024-03-22 00:00:00+00:00,1.0,1.0,118,12
2024-03-23 00:00:00+00:00,2.0,2.0,98,9
2024-03-24 00:00:00+00:00,,,73,5
