time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-06 00:00:00+00:00,,,32,4
2024-07-07 00:00:00+00:00,1.0,1.0,6,3
2024-07-08 00:00:00+00:00,1.0,1.0,27,8
2024-07-09 00:00:00+00:00,,,29,5
2024-07-10 00:00:00+00:00,,,21,7
2024-07-11 00:00:00+00:00,,,62,3
2024-07-12 00:00:00+00:00,3.0,3.0,11,9
2024-07-13 00:00:00+00:00,,,1,1
2024-07-15 00:00:00+00:00,,,15,5
2024-07-16 00:00:00+00:00,1.0,1.0,84,16
2024-07-17 00:00:00+00:00,1.0,1.0,43,9
2024-07-18 00:00:00+00:00,,,10,6
2024-07-19 00:00:00+00:00,,,3,3
